risky_rate,riskfree_rate,growth_rate,with_endowment,rho,chi,gamma,beta,average_capital,average_wage,average_consumption_young,average_risky_rate,average_income,average_total_utility,transfer,average_capital_fixed,average_wage_fixed,average_consumption_young_fixed,average_risky_rate_fixed,average_income_fixed,average_total_utility_fixed,average_capital_variable,average_wage_variable,average_consumption_young_variable,average_risky_rate_variable,average_income_variable,average_total_utility_variable,crowd_out_effect,risk_shifting_effect,total_welfare_effect
1.0100,0.9800,0.0000,True,0.0000,1.0000,18.8456,0.1964,12.3973,31.5868,50.7166,1.2828,63.1139,37.4278,0.0786,9.0453,28.4326,48.4360,1.5838,57.4810,37.4077,10.1447,29.5470,48.4502,1.4657,58.5947,36.7111,-1.9149,1.8611,-0.0538
1.0100,0.9800,0.0000,True,0.0000,10.0000,18.8456,0.1964,12.3973,31.5868,50.7166,1.2828,63.1139,36.1188,0.0786,9.0453,28.4326,48.4360,1.5838,57.4810,36.1862,10.1447,29.5470,48.4502,1.4657,58.5947,35.6437,-1.3154,1.5019,0.1865
1.0100,0.9950,0.0000,True,0.0000,1.0000,9.3518,0.1964,12.3973,31.5868,50.7166,1.2828,63.1139,38.8501,0.0786,9.6232,29.0256,48.4510,1.5198,58.0740,38.4174,10.1447,29.5470,48.4502,1.4657,58.5947,38.1062,-1.9149,0.8012,-1.1137
1.0100,0.9950,0.0000,True,0.0000,10.0000,9.3518,0.1964,12.3973,31.5868,50.7166,1.2828,63.1139,37.4914,0.0786,9.6232,29.0256,48.4510,1.5198,58.0740,37.1261,10.1447,29.5470,48.4502,1.4657,58.5947,36.9982,-1.3154,0.3411,-0.9743
1.0100,1.0100,0.0000,True,0.0000,1.0000,0.0000,0.1964,12.3973,31.5868,50.7166,1.2828,63.1139,40.3040,0.0786,10.1438,29.5400,48.4448,1.4673,58.5884,39.5238,10.1447,29.5470,48.4502,1.4657,58.5947,39.5322,-1.9149,-0.0209,-1.9358
1.0100,1.0100,0.0000,True,0.0000,10.0000,0.0000,0.1964,12.3973,31.5868,50.7166,1.2828,63.1139,38.8944,0.0786,10.1438,29.5400,48.4448,1.4673,58.5884,38.1610,10.1447,29.5470,48.4502,1.4657,58.5947,38.3828,-1.3154,-0.5703,-1.8856
1.0250,0.9800,0.0000,True,0.0000,1.0000,28.0596,0.1359,7.1324,26.2709,45.3597,1.8545,52.4921,35.4965,0.0544,5.2932,23.7829,43.2850,2.2634,48.5780,34.9337,6.1634,25.0242,43.6557,2.0436,49.8191,34.6200,-2.4693,0.8837,-1.5856
1.0250,0.9800,0.0000,True,0.0000,10.0000,28.0596,0.1359,7.1324,26.2709,45.3597,1.8545,52.4921,34.1434,0.0544,5.2932,23.7829,43.2850,2.2634,48.5780,33.6934,6.1634,25.0242,43.6557,2.0436,49.8191,33.4500,-2.0308,0.7128,-1.3180
1.0250,0.9950,0.0000,True,0.0000,1.0000,18.5657,0.1359,7.1324,26.2709,45.3597,1.8545,52.4921,36.4243,0.0544,5.6180,24.2596,43.4369,2.1754,49.0548,35.7005,6.1634,25.0242,43.6557,2.0436,49.8191,35.5248,-2.4693,0.4821,-1.9871
1.0250,0.9950,0.0000,True,0.0000,10.0000,18.5657,0.1359,7.1324,26.2709,45.3597,1.8545,52.4921,35.0357,0.0544,5.6180,24.2596,43.4369,2.1754,49.0548,34.4009,6.1634,25.0242,43.6557,2.0436,49.8191,34.3242,-2.0308,0.2189,-1.8119
1.0250,1.0100,0.0000,True,0.0000,1.0000,9.2139,0.1359,7.1324,26.2709,45.3597,1.8545,52.4921,37.3618,0.0544,5.9127,24.6767,43.5592,2.1024,49.4718,36.5111,6.1634,25.0242,43.6557,2.0436,49.8191,36.4392,-2.4693,0.1925,-2.2768
1.0250,1.0100,0.0000,True,0.0000,10.0000,9.2139,0.1359,7.1324,26.2709,45.3597,1.8545,52.4921,35.9375,0.0544,5.9127,24.6767,43.5592,2.1024,49.4718,35.1528,6.1634,25.0242,43.6557,2.0436,49.8191,35.2077,-2.0308,-0.1527,-2.1835
1.0400,0.9800,0.0000,True,0.0000,1.0000,37.1396,0.0945,4.1364,21.9081,39.6385,2.6667,43.7750,32.7077,0.0378,3.1189,19.9390,37.8599,3.2200,40.9787,31.9013,3.7240,21.1551,38.4707,2.8596,42.1947,31.9559,-2.2987,-0.1670,-2.4657
1.0400,0.9800,0.0000,True,0.0000,10.0000,37.1396,0.0945,4.1364,21.9081,39.6385,2.6667,43.7750,31.3883,0.0378,3.1189,19.9390,37.8599,3.2200,40.9787,30.7045,3.7240,21.1551,38.4707,2.8596,42.1947,30.7661,-1.9822,-0.1963,-2.1785
1.0400,0.9950,0.0000,True,0.0000,1.0000,27.6458,0.0945,4.1364,21.9081,39.6385,2.6667,43.7750,33.2999,0.0378,3.3008,20.3192,38.0582,3.1007,41.3589,32.4794,3.7240,21.1551,38.4707,2.8596,42.1947,32.5344,-2.2987,-0.1652,-2.4639
1.0400,0.9950,0.0000,True,0.0000,10.0000,27.6458,0.0945,4.1364,21.9081,39.6385,2.6667,43.7750,31.9565,0.0378,3.3008,20.3192,38.0582,3.1007,41.3589,31.2337,3.7240,21.1551,38.4707,2.8596,42.1947,31.3231,-1.9822,-0.2796,-2.2618
1.0400,1.0100,0.0000,True,0.0000,1.0000,18.2940,0.0945,4.1364,21.9081,39.6385,2.6667,43.7750,33.8936,0.0378,3.4667,20.6540,38.2271,3.0010,41.6937,33.0728,3.7240,21.1551,38.4707,2.8596,42.1947,33.1145,-2.2987,-0.1232,-2.4219
1.0400,1.0100,0.0000,True,0.0000,10.0000,18.2940,0.0945,4.1364,21.9081,39.6385,2.6667,43.7750,32.5264,0.0378,3.4667,20.6540,38.2271,3.0010,41.6937,31.7797,3.7240,21.1551,38.4707,2.8596,42.1947,31.8816,-1.9822,-0.3135,-2.2957
1.0100,0.9800,0.0000,False,0.0000,1.0000,18.8456,0.4018,12.7650,31.7728,19.0077,1.2826,31.7728,15.1560,0.0809,8.4536,27.6387,16.6341,1.7056,25.0873,14.9372,9.5603,28.8388,16.7268,1.5593,26.2868,14.4137,-4.8980,3.4543,-1.4437
1.0100,0.9800,0.0000,False,0.0000,10.0000,18.8456,0.4018,12.7650,31.7728,19.0077,1.2826,31.7728,13.4425,0.0809,8.4536,27.6387,16.6341,1.7056,25.0873,12.9730,9.5603,28.8388,16.7268,1.5593,26.2868,12.8499,-4.4082,0.9155,-3.4927
1.0100,0.9950,0.0000,False,0.0000,1.0000,9.3518,0.4018,12.7650,31.7728,19.0077,1.2826,31.7728,16.3574,0.0809,9.0277,28.2554,16.6767,1.6311,25.7040,15.7815,9.5603,28.8388,16.7268,1.5593,26.2868,15.5562,-4.8980,1.3774,-3.5206
1.0100,0.9950,0.0000,False,0.0000,10.0000,9.3518,0.4018,12.7650,31.7728,19.0077,1.2826,31.7728,14.5081,0.0809,9.0277,28.2554,16.6767,1.6311,25.7040,13.6801,9.5603,28.8388,16.7268,1.5593,26.2868,13.8686,-4.4082,-1.2990,-5.7072
1.0100,1.0100,0.0000,False,0.0000,1.0000,0.0000,0.4018,12.7650,31.7728,19.0077,1.2826,31.7728,17.6340,0.0809,9.5421,28.7870,16.6937,1.5707,26.2356,16.7302,9.5603,28.8388,16.7268,1.5593,26.2868,16.7702,-4.8980,-0.2271,-5.1251
