risky_rate,riskfree_rate,growth_rate,with_endowment,mu,chi,gamma,average_capital,average_wage,average_consumption_young,average_risky_rate,average_income,average_total_utility,transfer,average_capital_fixed,average_wage_fixed,average_consumption_young_fixed,average_risky_rate_fixed,average_income_fixed,average_total_utility_fixed,average_capital_variable,average_wage_variable,average_consumption_young_variable,average_risky_rate_variable,average_income_variable,average_total_utility_variable,crowd_out_effect,risk_shifting_effect,total_welfare_effect
1.0100,0.9800,0.0000,True,1.3274,1.0000,18.8456,1.6674,2.5655,3.4630,1.2827,5.1304,2.6193,0.1300,1.2544,2.5655,3.5426,1.2827,4.7970,2.7138,1.3836,2.5655,3.4134,1.2827,4.7969,2.5811,-1.4579,5.0671,3.6092
1.0100,0.9800,0.0000,True,1.3274,10.0000,18.8456,1.6674,2.5655,3.4630,1.2827,5.1304,2.4986,0.1300,1.2544,2.5655,3.5426,1.2827,4.7970,2.5948,1.3836,2.5655,3.4134,1.2827,4.7969,2.4877,-0.4362,4.2827,3.8465
1.0100,0.9950,0.0000,True,1.3274,1.0000,9.3518,1.6686,2.5691,3.4654,1.2845,5.1339,2.8314,0.1301,1.3243,2.5691,3.4760,1.2845,4.8002,2.8568,1.3843,2.5691,3.4154,1.2845,4.7996,2.7888,-1.5047,2.3997,0.8951
1.0100,0.9950,0.0000,True,1.3274,10.0000,9.3518,1.6686,2.5691,3.4654,1.2845,5.1339,2.6904,0.1301,1.3243,2.5691,3.4760,1.2845,4.8002,2.7159,1.3843,2.5691,3.4154,1.2845,4.7996,2.6796,-0.3993,1.3494,0.9501
1.0100,1.0100,0.0000,True,1.3274,1.0000,0.0000,1.6674,2.5654,3.4629,1.2827,5.1302,2.3100,0.1300,1.3835,2.5654,3.4133,1.2827,4.7968,2.2876,1.3835,2.5654,3.4133,1.2827,4.7967,2.2882,-0.9444,-0.0273,-0.9717
1.0100,1.0100,0.0000,True,1.3274,10.0000,0.0000,1.6674,2.5654,3.4629,1.2827,5.1302,2.2605,0.1300,1.3835,2.5654,3.4133,1.2827,4.7968,2.2371,1.3835,2.5654,3.4133,1.2827,4.7967,2.2498,-0.4738,-0.5602,-1.0340
1.0250,0.9800,0.0000,True,1.6959,1.0000,28.0596,2.4101,3.7078,5.0056,1.8539,7.4156,4.0386,0.1300,1.8460,3.7078,5.0876,1.8539,6.9336,4.1657,2.0779,3.7078,4.8557,1.8539,6.9336,3.9162,-3.0316,6.1763,3.1447
1.0250,0.9800,0.0000,True,1.6959,10.0000,28.0596,2.4101,3.7078,5.0056,1.8539,7.4156,3.8543,0.1300,1.8460,3.7078,5.0876,1.8539,6.9336,3.9821,2.0779,3.7078,4.8557,1.8539,6.9336,3.7714,-2.1526,5.4674,3.3147
1.0250,0.9950,0.0000,True,1.6959,1.0000,18.5657,2.4110,3.7109,5.0077,1.8554,7.4188,4.3378,0.1300,1.9362,3.7109,5.0004,1.8554,6.9366,4.3636,2.0787,3.7109,4.8575,1.8554,6.9362,4.2053,-3.0548,3.6489,0.5941
1.0250,0.9950,0.0000,True,1.6959,10.0000,18.5657,2.4110,3.7109,5.0077,1.8554,7.4188,4.1370,0.1300,1.9362,3.7109,5.0004,1.8554,6.9366,4.1618,2.0787,3.7109,4.8575,1.8554,6.9362,4.0477,-2.1606,2.7590,0.5985
1.0250,1.0100,0.0000,True,1.6959,1.0000,9.2139,2.4073,3.6992,4.9998,1.8496,7.4071,4.7464,0.1298,2.0114,3.6992,4.9143,1.8496,6.9257,4.6788,2.0759,3.6992,4.8509,1.8496,6.9268,4.5993,-3.0984,1.6750,-1.4235
1.0250,1.0100,0.0000,True,1.6959,10.0000,9.2139,2.4073,3.6992,4.9998,1.8496,7.4071,4.5179,0.1298,2.0114,3.6992,4.9143,1.8496,6.9257,4.4467,2.0759,3.6992,4.8509,1.8496,6.9268,4.4200,-2.1671,0.5921,-1.5750
1.0400,0.9800,0.0000,True,2.0591,1.0000,37.1396,3.4688,5.3419,7.2047,2.6710,10.6736,6.1792,0.1301,2.6955,5.3419,7.2842,2.6710,9.9798,6.3498,3.0672,5.3419,6.9111,2.6710,9.9784,5.9252,-4.1115,6.8714,2.7599
1.0400,0.9800,0.0000,True,2.0591,10.0000,37.1396,3.4688,5.3419,7.2047,2.6710,10.6736,5.9024,0.1301,2.6955,5.3419,7.2842,2.6710,9.9798,6.0721,3.0672,5.3419,6.9111,2.6710,9.9784,5.7056,-3.3348,6.2105,2.8757
1.0400,0.9950,0.0000,True,2.0591,1.0000,27.6458,3.4654,5.3314,7.1976,2.6657,10.6631,6.6125,0.1300,2.8094,5.3314,7.1604,2.6657,9.9699,6.6358,3.0646,5.3314,6.9052,2.6657,9.9699,6.3406,-4.1122,4.4643,0.3520
1.0400,0.9950,0.0000,True,2.0591,10.0000,27.6458,3.4654,5.3314,7.1976,2.6657,10.6631,6.3079,0.1300,2.8094,5.3314,7.1604,2.6657,9.9699,6.3279,3.0646,5.3314,6.9052,2.6657,9.9699,6.0992,-3.3078,3.6257,0.3178
1.0400,1.0100,0.0000,True,2.0591,1.0000,18.2940,3.4684,5.3407,7.2039,2.6704,10.6724,7.1351,0.1301,2.9148,5.3407,7.0638,2.6704,9.9786,7.0250,3.0669,5.3407,6.9104,2.6704,9.9775,6.8390,-4.1499,2.6075,-1.5424
1.0400,1.0100,0.0000,True,2.0591,10.0000,18.2940,3.4684,5.3407,7.2039,2.6704,10.6724,6.8004,0.1301,2.9148,5.3407,7.0638,2.6704,9.9786,6.6838,3.0669,5.3407,6.9104,2.6704,9.9775,6.5733,-3.3395,1.6248,-1.7147
1.0100,0.9800,0.0000,False,1.3274,1.0000,18.8456,0.8348,2.5682,1.7335,1.2841,2.5682,1.2953,0.0651,0.6286,2.5682,1.7728,1.2841,2.4013,1.3418,0.6926,2.5682,1.7086,1.2841,2.4010,1.2763,-1.4691,5.0535,3.5843
1.0100,0.9800,0.0000,False,1.3274,10.0000,18.8456,0.8348,2.5682,1.7335,1.2841,2.5682,1.0539,0.0651,0.6286,2.5682,1.7728,1.2841,2.4013,1.1033,0.6926,2.5682,1.7086,1.2841,2.4010,1.0640,0.9603,3.7254,4.6857
1.0100,0.9950,0.0000,False,1.3274,1.0000,9.3518,0.8346,2.5677,1.7332,1.2839,2.5677,1.3798,0.0651,0.6626,2.5677,1.7383,1.2839,2.4007,1.3920,0.6924,2.5677,1.7083,1.2839,2.4005,1.3590,-1.5058,2.3918,0.8859
1.0100,0.9950,0.0000,False,1.3274,10.0000,9.3518,0.8346,2.5677,1.7332,1.2839,2.5677,1.1198,0.0651,0.6626,2.5677,1.7383,1.2839,2.4007,1.1321,0.6924,2.5677,1.7083,1.2839,2.4005,1.1295,0.8654,0.2307,1.0961
1.0100,1.0100,0.0000,False,1.3274,1.0000,0.0000,0.8347,2.5679,1.7334,1.2840,2.5679,1.4435,0.0651,0.6926,2.5679,1.7085,1.2840,2.4010,1.4293,0.6925,2.5679,1.7084,1.2840,2.4008,1.4300,-0.9309,-0.0503,-0.9812
1.0100,1.0100,0.0000,False,1.3274,10.0000,0.0000,0.8347,2.5679,1.7334,1.2840,2.5679,1.3166,0.0651,0.6926,2.5679,1.7085,1.2840,2.4010,1.2995,0.6925,2.5679,1.7084,1.2840,2.4008,1.3182,0.1244,-1.4209,-1.2965
1.0250,0.9800,0.0000,False,1.6959,1.0000,28.0596,1.2068,3.7129,2.5062,1.8564,3.7129,2.0060,0.0651,0.9253,3.7129,2.5463,1.8564,3.4715,2.0684,1.0403,3.7129,2.4309,1.8564,3.4712,1.9449,-3.0413,6.1564,3.1151
1.0250,0.9800,0.0000,False,1.6959,10.0000,28.0596,1.2068,3.7129,2.5062,1.8564,3.7129,1.6289,0.0651,0.9253,3.7129,2.5463,1.8564,3.4715,1.6915,1.0403,3.7129,2.4309,1.8564,3.4712,1.6072,-1.3298,5.1744,3.8446
1.0250,0.9950,0.0000,False,1.6959,1.0000,18.5657,1.2046,3.7061,2.5016,1.8531,3.7061,2.1401,0.0650,0.9679,3.7061,2.4975,1.8531,3.4652,2.1525,1.0387,3.7061,2.4268,1.8531,3.4653,2.0749,-3.0480,3.6287,0.5807
1.0250,0.9950,0.0000,False,1.6959,10.0000,18.5657,1.2046,3.7061,2.5016,1.8531,3.7061,1.7504,0.0650,0.9679,3.7061,2.4975,1.8531,3.4652,1.7593,1.0387,3.7061,2.4268,1.8531,3.4653,1.7258,-1.4041,1.9159,0.5118
1.0250,1.0100,0.0000,False,1.6959,1.0000,9.2139,1.2045,3.7060,2.5016,1.8530,3.7060,2.3128,0.0650,1.0066,3.7060,2.4586,1.8530,3.4650,2.2799,1.0386,3.7060,2.4267,1.8530,3.4651,2.2408,-3.1151,1.6889,-1.4262
1.0250,1.0100,0.0000,False,1.6959,10.0000,9.2139,1.2045,3.7060,2.5016,1.8530,3.7060,1.8581,0.0650,1.0066,3.7060,2.4586,1.8530,3.4650,1.8149,1.0386,3.7060,2.4267,1.8530,3.4651,1.8347,-1.2592,-1.0636,-2.3228
1.0400,0.9800,0.0000,False,2.0591,1.0000,37.1396,1.7341,5.3354,3.6014,2.6677,5.3354,3.0703,0.0651,1.3489,5.3354,3.6398,2.6677,4.9886,3.1541,1.5334,5.3354,3.4550,2.6677,4.9883,2.9443,-4.1040,6.8319,2.7279
